FORGE_PHASE_2_X_MODULE_DECISION_TABLE.txt
Generated: 2026-06-04
Scope: Concise module decision table for human review.

[Module Name | Classification | Recommended Domain | Ownership | Candidate | Action Recommendation | Priority | Notes]

manager-alert-engine.js | CONSOLIDATE LATER | 01 REVENUE GENERATION ENGINE | 01 REVENUE GENERATION ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
opportunity-detector-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 01 REVENUE GENERATION ENGINE | 01 REVENUE GENERATION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
pipeline-stage-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 01 REVENUE GENERATION ENGINE | 01 REVENUE GENERATION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
revenue-forecast-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 01 REVENUE GENERATION ENGINE | 01 REVENUE GENERATION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | ALTA | possible orphan / no incoming imports detected Requires predictive vs historical truth and source/rate validation.
adaptive-script-builder.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
advisor-style-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
appointment-followup-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
communication-mismatch-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
communication-style-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
conversion-metrics-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
discovery-summary-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
discovery-to-presentation-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
dna-script-strategy-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
first-contact-delivery-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
first-contact-options-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
first-contact-tone-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
first-contact.entity.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
forge-ai-connector-master-test.js | CONSOLIDATE LATER | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
forge-build-tree-status.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
forge-presentation-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
gmm-out-of-pocket-test.js | CONSOLIDATE LATER | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
imagina-ser-presentation-prompt-engine.js | DOCUMENT | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
nash-prospect-context-builder.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
orvi-client-report-test.js | DOCUMENT | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
outreach-channel.constants.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
presentation-input-context-builder.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
presentation-input-pipeline.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
presentation-pipeline-test.js | DOCUMENT | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
prospect-next-action-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
prospect-pipeline-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
prospect-profile-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
prospect-segment-performance-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
prospect-status.constants.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
prospecting-dashboard.viewmodel.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | ALTA | No immediate static risk detected.
quotation-currency-bridge.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | ALTA | No immediate static risk detected. Requires predictive vs historical truth and source/rate validation.
